Row Labels,Average of NO2 Mean,Average of O3 Mean,Average of SO2 Mean,Average of CO Mean
36823,30,0.008882,0.5791665,0.6854165
36824,38.052632,0.011708,3.4916665,1.7515875
36825,30.708333,0.0155,1.6916665,1.4686505
36826,29.791667,0.009792,0.8166665,0.7604165
36827,21.25,0.017542,0.3625,0.5770835
36828,20.208333,0.016917,0.49375,0.6666665
36829,25.708333,0.0105,0.36875,0.70625
36830,29.909091,0.011056,0.9916665,1.0270835
36831,34.958333,0.008333,1.11875,1.1625
36832,35.545455,0.005167,0.902381,1.0960225
36833,35.333333,0.006167,1.1520835,1.2333335
36834,24.458333,0.01025,0.195238,0.6145835
36835,27.541667,0.013792,0.36875,0.7833335
36836,35.529412,0.002667,0.5954545,1.1174245
36837,26.590909,0.008708,0.8030705,1.1386365
36838,31.791667,0.008708,2.1979165,1.2083335
36839,30.416667,0.007333,1.8229165,1.09375
36840,24,0.014333,0.1583335,0.58125
36841,20.666667,0.015042,0.2041665,0.59375
36842,28.208333,0.01125,0.74375,0.85
36843,35.791667,0.009458,2.5270835,1.725
36844,36,0.004625,2.257792,1.427462
36845,39.708333,0.009167,2.73125,1.277083
36846,37.833333,0.00775,2.874675,1.5097825
36847,41.608696,0.007375,2.231818,1.8916665
36848,28.833333,0.016167,1.5270835,1.008333
36849,40.333333,0.007833,3.0729165,1.8979165
36850,38.952381,0.008458,4.086646,1.8229165
36851,29.727273,0.009083,1.7598485,0.467803
36852,33.272727,0.011,1.7770835,0.74375
36858,41.863636,0.002875,4.955357,1.6857355
36859,42.791667,0.005625,5.3625,1.78125
36860,43.26087,0.006333,5.756061,2.1530795
36861,45.73913,0.00275,5.5745345,2.360779
36862,35.25,0.007917,4.3166665,1.883333
36863,31.625,0.012042,4.0729165,1.545833
36864,35.409091,0.007875,5.292208,1.8935685
36865,47.428571,0.006647,5.0403505,2.206818
36866,44.5,0.003708,4.0666665,1.6833335
36867,47.75,0.004292,6.0270835,2.2791665
36868,38.666667,0.005625,5.0333335,1.2854165
36869,37.375,0.006583,3.6125,1.39375
36870,31.291667,0.002625,2.9416665,1.3145835
36871,33.291667,0.007167,3.2375,1.4333335
36872,27.142857,0.013125,0.968182,0.7675595
36873,33.958333,0.006833,1.4479165,1.139583
36874,40,0.005167,3.5729165,1.9
36875,42.25,0.004208,2.7770835,1.7041665
36876,39.541667,0.004917,2.9354165,1.8729165
36877,42.333333,0.006833,4.3166665,2.8125
36878,31.454545,0.009333,3.260714,1.4674815
36879,51.5,0.005667,6.960606,2.161111
